employee_id,first_name,last_name,date_of_birth,ssn,email,phone_number,address,hire_date,job_title,department,salary,bank_account_number
1,Pamela,Fields,1993-11-09,321-11-2702,xrobertson@green.com,(621)412-6825x438,"USNS Wilson, FPO AE 29277",2020-01-31,Telecommunications researcher,IT,79817.61,QASR61122159422065
2,Tony,Baker,1961-08-27,211-65-2849,ashleylawrence@garcia-acosta.net,469.708.1229x93108,"6034 Kimberly Green, Turnerview, VA 56077",2024-12-11,Health visitor,IT,115355.36,OSIH85275715623351
3,Diane,Richardson,2002-08-26,277-27-8386,jaclynmorgan@hall.com,+1-302-940-1924x874,"PSC 9327, Box 7877, APO AP 96717",2024-03-15,"Engineer, structural",Sales,105581.1,VHXQ87368639950083
4,Meghan,Miller,1980-06-27,538-33-5241,heather13@dean.com,001-849-296-9365x575,"PSC 1156, Box 5547, APO AE 59447",2020-12-28,Information officer,Finance,63129.46,ONFC81628017274394
5,Julie,Bell,1986-04-26,036-85-2337,tiffanywong@henderson.com,001-366-448-6962x00254,"807 Richardson Estate, Lake Nicholasburgh, UT 21472",2019-01-18,Structural engineer,IT,78303.7,XTMZ94864343580259
6,James,Bailey,1998-02-08,748-91-0875,huntjordan@galloway.com,671.541.5302x06166,"2211 Vega Meadows Suite 421, Port Sarahland, WA 49904",2024-03-09,"Engineer, energy",IT,81156.13,LCJV67352344179103
7,Samantha,May,1999-11-26,504-23-1778,lauriepowell@smith.org,(667)990-8745x11411,"67609 Young Parkways, Michaelburgh, OH 93646",2022-04-23,Legal secretary,IT,69445.3,PZUA37731438319656
8,David,Williams,1982-01-15,162-73-2061,zsmith@carter-rodriguez.com,(802)910-1634x306,"18111 Tracy Light, Delacruzburgh, OH 58483",2018-07-29,Fisheries officer,IT,30465.18,EDQN32776851007009
9,Julie,Spencer,2002-12-20,175-02-0037,rosemary@shelton.info,799-897-3720x861,"9941 Kristin Village, West Emilyhaven, MN 41930",2024-06-27,"Designer, interior/spatial",Engineering,36352.09,VQCI02279115209801
10,Craig,Wood,1983-06-14,351-10-5805,crossclifford@evans.info,001-311-675-5631x0030,"2935 Rodney Valley, North Rogermouth, VI 04177",2018-05-12,Air cabin crew,Marketing,68029.37,ZNRK53409568143965
11,Christina,Hernandez,1991-11-01,599-98-7569,heidi20@peters.net,496-911-1813x2729,"8900 Samantha Drives Suite 203, Kelseyland, SC 28412",2022-05-27,Special educational needs teacher,HR,90914.76,BSTL83094584488576
12,Lisa,Shah,1968-05-06,526-24-2144,rwatson@kelly-king.com,338.337.8100x982,"632 Wanda Station Apt. 303, Cindyton, HI 25857",2016-06-25,"Engineer, structural",Finance,67112.13,NDBY93383529020744
13,Patricia,Diaz,1959-10-01,162-35-8773,kevincruz@olsen-owen.com,868-944-7312,"2166 Douglas Coves Apt. 036, Robertsonstad, PW 20021",2019-04-16,Equities trader,IT,80948.0,AIYU69140808537541
14,Nicole,Wagner,1994-04-11,219-70-5507,jonathangreen@zimmerman.org,767-647-2081x097,"29453 James Falls Apt. 805, Jessicastad, MD 41698",2017-02-15,Occupational therapist,Finance,61228.15,XIQH15054146538324
